ASK_ID,Question,ShortAnswer,Answer,URL,Status,Topic,SubCategories,Audiences,RelatedQuestions,UpsellItems
283,My current mortgage loan is more than I can pay. What can I do?,You may be able to get a loan modification or refinance your mortgage loan.,"Both of these options result in you having different loan terms and may involve additional fees. This could change the amount you pay each month or the length of your mortgage loan. A federal program called The Home Affordable Modification Program (HAMP) was created to provide loan modifications to eligible struggling homeowners. The deadline for submitting an application for most types of HAMP loan modifications is December 30, 2016. Many mortgage loan companies also offer other types of modifications to eligible borrowers.If you are interested in refinancing your mortgage loan, and the value of your home has fallen, the federal government’s FHA Short Refinance Program or Home Affordable Refinance Program (HARP) may provide you with additional refinancing options. The deadline to apply for a refinance under the FHA Short Refinance Program is December 30, 2016. The deadline to apply under the current HARP program is September 30, 2017.To learn more, call the CFPB at 1-855-411-CFPB (2372) to be connected to a U.S. Department of Housing and Urban Development (HUD)-approved housing counselor today. Tip:Use our checklist for more information on how to avoid foreclosure.",/askcfpb/283/my-current-mortgage-loan-is-more-than-i-can-pay-what-can-i-do.html,APPROVED,Mortgages,Places to seek help | Trouble paying a mortgage,,<Question: 258 What&#146;s a housing counselor?> | <Question: 269 What is a mortgage loan modification?>,Tell Your Story
284,What can I do if I can&#146;t afford to stay in my home?,,"Even if you can’t afford to stay in your home, you may still have options to avoid foreclosure, which could remain on your credit history for up to seven years and may be more damaging to your credit history than other outcomes. Your other options may include renting back your home, a short sale or a “deed in lieu of foreclosure.” Foreclosure prevention counseling is available free of charge through U.S. Department of Housing and Urban Development (HUD)’s Housing Counseling Program. Call the CFPB at 1-855-411-CFPB (2372) to be connected to a HUD-approved housing counselor today. Tip:  Use our checklist for more information on how to avoid foreclosure.If you are facing imminent foreclosure or have been served with legal papers, you may also need to consult an attorney.  If you need help finding an attorney, you can view this list of legal aid services in your state, or you can find lawyer referrals in your county and state by visiting the American Bar Association website.",/askcfpb/284/what-can-i-do-if-i-cant-afford-to-stay-in-my-home.html,APPROVED,Mortgages,Places to seek help | Trouble paying a mortgage,,<Question: 258 What&#146;s a housing counselor?> | <Question: 269 What is a mortgage loan modification?> | <Question: 287 How does foreclosure work?>,Tell Your Story
285,"I want to sell my home, but I can&#146;t get enough money in the sale to pay off my mortgage loan. ",,"You still may be able to sell your home, if your lender agrees to a short sale. If you choose this option, a U.S. Department of Housing and Urban Development (HUD)-approved housing counselor can help you plan your next steps. If you live in a state in which you are responsible for any deficiency between the sale price for your home and the amount you still owe on your mortgage loan, you will want to ask your lender to waive the deficiency. If your lender waives the deficiency, get the waiver in writing and keep it. You should also ask about help with relocation expenses, either under the federal government’s Home Affordable Modification Program (HAMP) or other programs sometimes called “cash-for-keys.” The deadline to apply for assistance under HAMP is December 30, 2016. To learn more, call the CFPB at 1-855-411-CFPB (2372) to be connected to a HUD-approved housing counselor today.",/askcfpb/285/i-want-to-sell-my-home-but-i-cant-get-enough-money-in-the-sale-to-pay-off-my-mortgage-loan-what-are-my-options.html,SUBMITTED,Mortgages,Places to seek help | Trouble paying a mortgage,,<Question: 258 What&#146;s a housing counselor?> | <Question: 290 What is a short sale?>,Tell Your Story
286,I can&#146;t make my mortgage loan payments or sell my home. What should I do?,,"If you can’t make your mortgage payment, in some cases you can give your home back to your mortgage lender through a process called “deed-in-lieu of foreclosure.” You may also qualify for help with relocation expenses, either under the federal government’s Home Affordable Foreclosure Alternatives Program (HAFA)  or other programs sometimes called “cash-for-keys.” The deadline to apply for assistance under HAFA is December 30, 2016. If you live in a state in which you are responsible for any deficiency between the value of your property and the amount you still owe on your mortgage loan, you will want to ask your lender to waive the deficiency. If the lender waives the deficiency, get the waiver in writing and keep it. To learn more, call the CFPB at 1-855-411-CFPB (2372) to be connected to a U.S. Department of Housing and Urban Development (HUD)-approved housing counselor today. Tip:  Use our checklist for more information on how to avoid foreclosure.If you are facing imminent foreclosure or have been served with legal papers, you may also need to consult an attorney.  If you need help finding an attorney, you can view this list of legal aid services in your state, or you can find lawyer referrals in your county and state by visiting the American Bar Association website.",/askcfpb/286/i-cant-make-my-mortgage-loan-payments-or-sell-my-home-what-should-i-do.html,APPROVED,Mortgages,Places to seek help | Trouble paying a mortgage,,"<Question: 258 What&#146;s a housing counselor?> | <Question: 291 What is a &#147;deed-in-lieu of foreclosure?"">",Tell Your Story
287,How does foreclosure work?,,"Foreclosure processes differ by state. If you are worried about foreclosure, you should call the CFPB at 1-855-411-CFPB (2372) to be connected with a U.S. Department of Housing and Urban Development (HUD)-approved housing counselor.Typically, once you fall four months behind on your mortgage payments, the foreclosure process may begin (although the process can begin earlier or later). The foreclosure process may proceed in one of three ways depending on your state: judicial sale, which requires that the process go through court; power of sale, which can be carried out entirely by the lender; or strict foreclosure, which is only available in a few states and requires the lender or a servicer acting on the lender’s behalf to file a lawsuit against the borrower. All types of foreclosure generally involve public notice to be given and require all parties to be notified regarding the proceedings. States laws on giving notice and scheduling a foreclosure sale vary. Some states may also provide you with the right to mediation prior to foreclosure. Be sure to read your mail carefully and act promptly on notices you receive. For a list of foreclosure resources by state, please visit the HUD’s website. Military members or veterans can call the U.S. Department of Veterans Affairs (VA) or visit the VA’s home loan website to get personalized assistance. If you believe you are in need of an attorney, or if you have been served with a notice of foreclosure or other related legal document, you may be able to find legal aid in your state for legal representation available at little or no cost to you. If you need help finding an attorney, you can view this list of legal aid services in your state, or you can find lawyer referrals in your county and state by visiting the American Bar Association website.Foreclosure prevention counseling and counseling services for homeless persons are available free of charge through HUD's Housing Counseling Program. To learn more, call the CFPB at 1-855-411-CFPB (2372) to be connected to a HUD-approved housing counselor today. Tip: Use this checklist for more information on how to avoid foreclosure.",/askcfpb/287/how-does-foreclosure-work.html,APPROVED,Mortgages,Understanding mortgages | Trouble paying a mortgage,,<Question: 198 What&#146;s the difference between a mortgage lender and a servicer?> | <Question: 258 What&#146;s a housing counselor?>,Tell Your Story
289,What is forbearance?,,"Forbearance is a temporary reduction in or suspension of your mortgage payments. Your servicer may grant you forbearance if you recently lost your job or suffered from a disaster or from an illness or injury that increased your health care costs. If you are unemployed, you may qualify for the Home Affordable Unemployment Program or the Hardest Hit Fund, two federal programs that grant temporary relief to homeowners who have lost their jobs. The deadline to apply for assistance under the Home Affordable Unemployment Program is December 30, 2016. The deadlines to apply for assistance under the Hardest Hit Fund programs vary by state.  For help in exploring your options call the CFPB at 1-855-411-CFPB (2372) to be connected to a U.S. Department of Housing and Urban Development (HUD)-approved housing counselor today.  Tip: Use this checklist for more information on how to avoid foreclosure.",/askcfpb/289/what-is-forbearance.html,APPROVED,Mortgages,Trouble paying a mortgage | Definitions,,<Question: 198 What&#146;s the difference between a mortgage lender and a servicer?> | <Question: 258 What&#146;s a housing counselor?>,Tell Your Story
290,What is a short sale?,,"A short sale is a sale of your home for less than what you owe on your mortgage. A short sale is an alternative to foreclosure, but requires you to leave your home. If your lender or servicer acting on the lender’s behalf agrees to a short sale, you may be able to sell your home to pay off your mortgage, even if the sale price or proceeds turn out to be less than the balance remaining on your mortgage. If you live in a state in which you are responsible for any deficiency between the sale price for your home and the amount you still owe on your mortgage loan, you will want to ask your lender or servicer acting on your lender’s behalf to waive the deficiency before you go through with a short sale. The deficiency is the difference between the amount owed on a loan and the total amount collected from the sale proceeds. In some states, after a short sale, your lender could sue you to collect the amount of the deficiency. Getting a waiver of deficiency means that the lender waived the right to collect this amount. If the lender waives the deficiency, get the waiver in writing and keep it. If you choose this option, a U.S. Department of Housing and Urban Development (HUD)-approved housing counselor can help you plan your next steps. Borrowers who are seeking short sales should also ask about help with relocation expenses, either under the federal government’s Home Affordable Foreclosure Alternatives Program (HAFA) or under other private programs sometimes called “cash-for-keys.” The deadline to apply for assistance under HAFA is December 30, 2016. For help in exploring your options call the CFPB at 1-855-411-CFPB (2372) to be connected to a HUD-approved housing counselor today. Tip: Use this checklist for more information on how to avoid foreclosure.",/askcfpb/290/what-is-a-short-sale.html,APPROVED,Mortgages,Trouble paying a mortgage | Definitions,,<Question: 198 What&#146;s the difference between a mortgage lender and a servicer?> | <Question: 258 What&#146;s a housing counselor?> | <Question: 287 How does foreclosure work?>,Tell Your Story
291,"What is a &#147;deed-in-lieu of foreclosure?""",,"A deed-in-lieu of foreclosure means that, in order to be released from your mortgage, you must transfer ownership of your home to your lender. If you choose this option, a U.S. Department of Housing and Urban Development (HUD)-approved housing counselor can help you plan your next steps. Borrowers who are considering a deed-in-lieu of foreclosure should also ask their lenders or servicers about help with their relocation expenses, either under the federal government’s Home Affordable Foreclosure Alternatives Program (HAFA) or other private programs that are sometimes called “cash-for-keys.” The deadline to apply for assistance under HAFA is December 30, 2016.If you live in a state in which you are responsible for any deficiency between the value of your property and the amount you still owe on your mortgage loan, you will want to ask your lender to waive the deficiency. If the lender waives the deficiency, get the waiver in writing and keep it. For help in exploring your options, call the CFPB at 1-855-411-CFPB (2372) to be connected to a HUD-approved housing counselor today. Tip: Use our checklist for more information on how to avoid foreclosure.",/askcfpb/291/what-is-a-deed-in-lieu-of-foreclosure.html,APPROVED,Mortgages,Trouble paying a mortgage | Definitions,,<Question: 198 What&#146;s the difference between a mortgage lender and a servicer?> | <Question: 258 What&#146;s a housing counselor?> | <Question: 287 How does foreclosure work?>,Tell Your Story
292,My home was damaged or destroyed in a natural disaster. Can I get a forbearance?,,"Depending upon the type of loan you have, your lender may be willing to temporarily reduce or suspend your payments. To learn more, call the CFPB at 1-855-411-CFPB (2372) to be connected to a U.S. Department of Housing and Urban Development (HUD)-approved housing counselor today.",/askcfpb/292/my-home-was-damaged-or-destroyed-in-a-natural-disaster-can-i-get-a-forbearance.html,APPROVED,Mortgages,Places to seek help | Reverse mortgages,,<Question: 258 What&#146;s a housing counselor?> | <Question: 289 What is forbearance?>,Tell Your Story
293,I&#146;m a military servicemember or veteran and am considering buying a home. What should I think about before taking out a mortgage?,,"If you're a veteran or an active duty member of the Army, Navy, Air Force, Marines or Coast Guard, there are two steps you should take right away when you consider buying a house: 1. Figure out what you can afford The first step is to be sure that you can afford to buy a home and in what price range. Tip: If you're on active duty, make an appointment to see a financial counselor at your local installation’s Personal Financial Management Program (PFMP). You can find the the closest PFMP office online – select “Personal Financial Management Services” in the “Program or Service” drop-down box.  Additional resources that can help you make this complex decision are the U.S. Department of Defense-endorsed site Military One Source and the U.S. Department of Housing and Urban Development (HUD).  Tip: When deciding how much house you can afford, don’t forget to consider future changes in your income or obligations that might be triggered by children, retirement or transition from the military, or a change in your spouse’s employment status. You should also take into account potential changes in home values, especially if you expect to move. You should also consider how your interest rate and payment could change over time, if you're considering an adjustable rate mortgage (ARM). Keep in mind that the cost of owning a home includes payments for: Homeowner’s insurance Property taxes Utilities Maintenance Repairs that you may not have faced when living in on-base or leased housingChanges in the real estate market are hard to predict, so think carefully about purchasing a home if you expect to be in the area for only three to five years or less. A downturn in the real estate market may make it hard for you to sell, rent or even refinance the home if you are obligated to move away. 2. Check your creditBe sure to check your credit report information to make sure an error won't stop you from getting the best interest rate that you can get. Although a difference of one percent on a mortgage rate may not seem like much, it can add up to tens of thousands of dollars in the long term.  Tip: As a servicemember, you may be able to access not just your credit report but also your credit score for free, along with free financial education and counseling, through the PFMP office. If you are deployed, your first resource is your chain-of-command, who should be able to direct you to the servicing Personal Financial Manager (PFM) in your situation. In isolated cases where you are not provided access to a PFM, your credit report and score may be obtained by contacting the Financial Industry Regulatory Authority (FINRA) Investor Education Foundation by emailing creditscore@finra.org.  Warning: Be wary of credit repair scams that promise to improve your credit score for a fee. Consult your PFMP counselor instead.",/askcfpb/293/im-a-military-servicemember-or-veteran-and-am-considering-buying-a-home-what-should-i-think-about-before-taking-out-a-mortgage.html,APPROVED,Mortgages,Applying for a mortgage,Servicemembers,<Question: 100 What is the difference between a fixed-rate and adjustable-rate mortgage (ARM) loan? > | <Question: 162 What is homeowner's insurance?> | <Question: 309 What is a credit report?>,Owning a Home
294,"I&#146;m in the military (active, Guard, Reserve) or a veteran and I&#146;m considering buying a home. How do I know if I&#146;m eligible for a VA-guaranteed loan?",,"The VA has the answer. The VA can help you determine your home loan benefit and issue your Certificate of Eligibility (COE). Visit the VA’s website for detailed information about eligibility. In addition, many veterans and current servicemembers can access their eligibility certification online. Registration is free, immediate and provides information on many benefits for servicemembers, veterans, and their families. You can also obtain a hard copy of your COE through the mail by sending VA Form 26-1880, “Request for a Certificate of Eligibility,” to Atlanta Regional Loan Center, ATTN; COE (262); P.O. Box 100034, Decatur, GA 20031, or you may call the VA Home Loan Assistance number at 1-888-244-6711.",/askcfpb/294/im-in-the-military-active-guard-reserve-or-a-veteran-and-im-considering-buying-a-home-how-do-i-know-if-im-eligible-for-a-va-guaranteed-loan.html,APPROVED,Mortgages,Applying for a mortgage,Servicemembers,<Question: 113 What is a VA loan?> | <Question: 295 I am in the military or a veteran and I&#146;m in the process of closing on my first VA home loan. My friends are telling me that I do not have to pay many of the closing costs associated with a typical closing. How do I know what I should pay and what I should not pay?>,Owning a Home
295,I am in the military or a veteran and I&#146;m in the process of closing on my first VA home loan. My friends are telling me that I do not have to pay many of the closing costs associated with a typical closing. How do I know what I should pay and what I should not pay?,,"The VA program does have limits on fees, compared to many other mortgage loan programs. Three business days before closing, your lender provides you with a form called the Closing Disclosure. This form lists all the fees associated with getting the loan and breaks them down into categories to clearly indicate who pays what fee. Page 3 of the Closing Disclosure shows what fees you are responsible for and how much money you need to pay to close on the loan.It’s a good idea to bring your Loan Estimate, Closing Disclosure, and any other loan documents to your Legal Assistance Office for review. If that’s not possible, you may download a pamphlet that explains your fees from the VA’s home loan website. If you still have questions or concerns, call your regional VA office or call the VA main Home Loan information line at 1-877-827-3702 for assistance. Note:  You won’t receive a Loan Estimate or Closing Disclosure if you applied for a mortgage prior to October 3, 2015, or if you're applying for a reverse mortgage. For those loans, you will receive two forms – a Good Faith Estimate (GFE) and an initial Truth-in-Lending disclosure  – instead of a Loan Estimate. Instead of a Closing Disclosure, you will receive a final Truth in Lending disclosure and a HUD -1 Settlement Statement. If you are applying for a HELOC, a manufactured housing loan that is not secured by real estate, or a loan through certain types of homebuyer assistance programs, you will not receive a GFE or a Loan Estimate, but you should receive a Truth-in-Lending disclosure.",/askcfpb/295/I-am-in-the-military-and-Im-in-the-process-of-closing-on-my-first-VA-home-loan-I-hear-that-servicemembers-and-veterans-do-not-have-to-pay-many-of-the-closing-costs-associated-with-a-typical-closing.html,APPROVED,Mortgages,Applying for a mortgage | Closing on a mortgage,Servicemembers,"<Question: 148 I never received a &#147;Good Faith Estimate&#148; or GFE. What can I do? > | <Question: 153 What costs will I have to pay as part of taking out a mortgage loan?> | <Question: 176 What is a mortgage ""closing""? What happens at the closing?>",Owning a Home
296,I am a servicemember or veteran and I have decided to purchase a home. How do I know if a VA loan is the right fit for me?,,"You should consider the advantages and disadvantages of getting a U.S. Department of Veterans Affairs (VA)-guaranteed loan. Some of the advantages, once you qualify, include the ability to buy a home with no down payment (as long as the sales price doesn’t exceed the appraised value), as well as the absence of the private mortgage insurance (PMI) requirement. PMI may cost up to one percent of the loan amount each year. The VA loan program also limits the closing costs you may be charged and gives you the right to prepay your mortgage without a penalty. Also, the VA may be able to offer you some assistance if you run into temporary financial difficulties.There may be disadvantages to a VA loan. For example, a VA loan could have a higher interest rate than a conventional loan, although interest rates on VA loans are negotiable. In addition, most borrowers are required to pay a VA loan funding fee (currently between one and three percent of the amount of the loan). Also, opting for a loan without a down payment makes it important that you plan to stay in the home for a while because a drop in home values could quickly put you “upside down” on your mortgage, leaving you owing more than the home is worth. The larger the down payment you are able to make, the more cushion you have to prevent this from happening. For more information go to the VA’s home loan program’s website or contact your local legal assistance office.Do your homework! Your real estate agent, broker or lender may not always understand the unique needs of servicemembers and their families.",/askcfpb/296/i-am-a-servicemember-or-veteran-and-i-have-decided-to-purchase-a-home-how-do-i-know-if-a-va-loan-is-the-right-fit-for-me.html,APPROVED,Mortgages,Applying for a mortgage,Servicemembers,<Question: 120 What kind of down payment do I need? How does the amount of down payment I make affect the terms of my mortgage loan?> | <Question: 130 What is the difference between a mortgage broker and a mortgage lender? > | <Question: 135 What is the difference between a mortgage interest rate and an APR?>,Owning a Home
297,I am a servicemember or veteran and I&#146;ve already bought and sold one house that was financed through a VA loan. Can I qualify for another VA loan?,,"Generally, your VA loan eligibility can be restored if you have paid off your prior VA loan even if the person who assumed it was also eligible for the benefit. Once your eligibility is restored, you may qualify for another VA loan. To learn more about eligibility or for any other question regarding the program, please visit the VAs home loan programs website.",/askcfpb/297/i-am-a-servicemember-or-veteran-and-ive-already-bought-and-sold-one-house-that-was-financed-through-a-va-loan-can-i-qualify-for-another-va-loan.html,APPROVED,Mortgages,Applying for a mortgage,Servicemembers,<Question: 113 What is a VA loan?> | <Question: 119 What are some of the financial considerations when thinking about buying or renting a home?>,Tell Your Story
298,"I&#146;m a servicemember or veteran and currently have a conventional mortgage at an adjustable rate. Now that rates are low, I&#146;d like to refinance to a lower fixed rate. Would I be eligible for a VA loan?",,"Yes, you may be eligible for a VA loan. Because of the Veterans Benefits Improvement Act of 2008, veterans who would like to refinance their existing non-VA mortgages into a VA loan may be eligible to do so for up to 100 percent of the value of the property. This may allow qualifying veterans to lower their monthly payments and avoid foreclosure. Visit the VAs website or call 1-877-827-3702 for further assistance.",/askcfpb/298/im-a-servicemember-or-veteran-and-currently-have-a-conventional-mortgage-at-an-adjustable-rate-now-that-rates-are-low-id-like-to-refinance-to-a-lower-fixed-rate-would-i-be-eligible-for-a-va-loan.html,APPROVED,Mortgages,Applying for a mortgage | Maintaining a mortgage,Servicemembers,<Question: 113 What is a VA loan?> | <Question: 287 How does foreclosure work?>,Tell Your Story
299,I am a servicemember and we just received PCS orders or have to move for another reason. It&#146;s impossible to sell our home for enough to pay off our current mortgage so we&#146;ve been advised to rent it out instead. I recall when we signed the mortgage that we were told that our rate was based on the fact that the house would be owner-occupied. Will this be an issue if we want to rent the house?,,"Many mortgage rates are based on whether the property will or will not be initially occupied by the owners. Your mortgage and note will specify the amount of time that you must occupy the property (often one or two years). You should review your mortgage and note to find out your loans specific requirements. If you didnt keep a copy of your mortgage and note from the closing, call your mortgage lender and request copies for your review. If you have a VA loan, the specific guidelines that apply to your mortgage can be accessed through your regional VA office, which you may locate by visiting the VAs website.For additional guidance on non-VA mortgages, contact your local legal assistance office.",/askcfpb/299/i-am-a-servicemember-and-we-just-received-pcs-orders-or-have-to-move-for-another-reason-its-impossible-to-sell-our-home-for-enough-to-pay-off-our-current-mortgage-so-weve-been-advised-to-rent-it-out-instead-i-recall-when-we-signed-the-mortgage-that-we-wer.html,APPROVED,Mortgages,Maintaining a mortgage | Other mortgage questions,Servicemembers,"<Question: 198 What&#146;s the difference between a mortgage lender and a servicer?> | <Question: 300 I am a servicemember and I have just received PCS orders or have to move for another reason. With my local real estate market in a downturn, I know it will be impossible for me to sell and pay off my mortgage. What advice can you give me about renting out my home?>",Tell Your Story
300,"I am a servicemember and I have just received PCS orders or have to move for another reason. With my local real estate market in a downturn, I know it will be impossible for me to sell and pay off my mortgage. What advice can you give me about renting out my home?",,"First, make sure your loan terms permit you to rent out the home by reviewing your mortgage and note. If you didnt keep a copy of your mortgage and note from the closing, call your mortgage lender and request copies for your review. If you choose to rent out your home, you will need to inform your homeowners insurance company. Often your homeowners insurance rate will increase if the home becomes a rental unit. If you have an escrow account, this could mean an eventual increase in your monthly payment. You should also set up an emergency fund to cover your mortgage and other home-related expenses for periods when you might not receive rental income. As it can be difficult to act as a landlord when you are many miles away, you might want to employ a trusted friend, relative or property management company to help. Information about the rental market and laws in your specific area may be obtained through your local installations military housing office. Find your nearest military housing office online by selecting Housing Office/Government Housing in the program or service drop down box.",/askcfpb/300/i-am-a-servicemember-and-i-have-just-received-pcs-orders-or-have-to-move-for-another-reason-with-my-local-real-estate-market-in-a-downturn-i-know-it-will-be-impossible-for-me-to-sell-and-pay-off-my-mortgage-what-advice-can-you-give-me-about-renting-out-my.html,APPROVED,Mortgages,Trouble paying a mortgage | Other mortgage questions,Servicemembers,<Question: 140 What is an escrow or impound account? > | <Question: 162 What is homeowner's insurance?> | <Question: 198 What&#146;s the difference between a mortgage lender and a servicer?>,Tell Your Story
301,"I am a servicemember stationed in Afghanistan with a mortgage loan that is currently covered under the Service members Civil Relief Act (SCRA). Our bank is encouraging my spouse to refinance to an adjustable-rate mortgage. Our payment will be smaller at the beginning, but then will change after a year according to the index used. Is this the best action to take?",,"Think carefully about this decision. You have certain protections under the SCRA for a loan you took out before you entered active military service that would not apply to a loan you take out while on active duty.Under the SCRA, the interest rate on a mortgage you took out before entering active duty (including service charges and fees) can be capped at six percent, so long as you meet the eligibility requirements and give proper notice to your lender or servicer acting on your lender’s behalf. Some financial institutions even cap the interest rate at four percent. If you refinance while on active duty, the new mortgage may be considered a new obligation assumed after you were called to active duty and may not be subject to the SCRA interest rate cap. Given the importance of these issues, you or your spouse should consult with your installation’s legal assistance office.",/askcfpb/301/i-am-a-servicemember-stationed-in-afghanistan-with-a-mortgage-loan-that-is-currently-covered-under-the-service-members-civil-relief-act-scra-our-bank-is-encouraging-my-spouse-to-refinance-to-an-adjustable-rate-mortgage-our-payment-will-be-smaller-at-the-b.html,APPROVED,Mortgages,Maintaining a mortgage,Servicemembers,<Question: 135 What is the difference between a mortgage interest rate and an APR?> | <Question: 198 What&#146;s the difference between a mortgage lender and a servicer?>,Tell Your Story
302,I am a servicemember or veteran. Will I be able to get a conventional or VA mortgage on a manufactured home?,,"VA-guaranteed home loans are available for manufactured homes, though maximum loan amounts vary. Please access the VA’s website or call 1-877-827-3702 for further assistance. Manufactured homes are also eligible for government-insured loans offered by the Federal Housing Administration (FHA) and the Rural Housing Services (RHS) under the U.S. Department of Agriculture. As with conventional mortgages, there are many factors involved in determining the loan amount you will qualify for under these programs. These factors include:  State laws Whether the home is attached to the land Whether you are also purchasing the land Neighborhood covenants Make sure you consult more than one lender. Don’t take the deal offered by the company selling the home without careful comparison. Also, keep in mind that manufactured home values have been known to drop faster than those for site-built homes. If you receive Permanent Change of Station (PCS) orders, it may be challenging to sell your manufactured home for enough to pay off your debt, even in a favorable real estate market. Moving the home to your new location may not be feasible or may be very expensive. If you’d like advice as you consider whether to buy a manufactured home, consult your installation’s Personal Financial Management Program (PFMP) counselor, Legal Assistance Office or military housing office. You can find your nearest PFMP office online by selecting “Personal Financial Management Services” in the “Program or Service” drop-down box.",/askcfpb/302/i-am-a-servicemember-or-veteran-will-i-be-able-to-get-a-conventional-or-va-mortgage-on-a-manufactured-home.html,APPROVED,Mortgages,Applying for a mortgage,Servicemembers,<Question: 112 What is an FHA loan?> | <Question: 114 What is a USA Rural Housing Service loan?> | <Question: 117 What is a conventional loan?>,Owning a Home
303,My spouse was killed on active duty service in combat and I am considering moving to be closer to my family. Will I be eligible for a VA loan if I buy a home in my hometown?,,"Yes, as a surviving spouse you may qualify for a VA-guaranteed loan. To get more information about your eligibility, go to the VA’s home loan website. In addition, if you currently own a home that you will need to sell to move closer to your hometown, you may be eligible for the Department of Defense’s Homeowners Assistance Program (HAP). For more general questions regarding survivor benefits, visit the VA’s website.",/askcfpb/303/my-spouse-was-killed-on-active-duty-service-in-combat-and-i-am-considering-moving-to-be-closer-to-my-family-will-i-be-eligible-for-a-va-loan-if-i-buy-a-home-in-my-hometown.html,APPROVED,Mortgages,Applying for a mortgage,Servicemembers,<Question: 113 What is a VA loan?> | <Question: 302 I am a servicemember or veteran. Will I be able to get a conventional or VA mortgage on a manufactured home?>,Owning a Home
304,I&#146;m a servicemember or veteran and I have a Certificate of Eligibility (COE) from the VA. Why do I have to apply and qualify at a bank if the VA has already certified me?,,"With your Certificate of Eligibility, you have evidence that the VA will “stand behind” your loan. The VA loan guaranty provides a private lender with the assurance that if something goes wrong and you are unable to make the payments, the lender may go to the VA to cover its losses.This VA guaranty is certainly considered by the lender, but VA loans are underwritten, closed and serviced entirely by private lenders, not by the VA. Servicemembers and veterans have to go through the application process and provide information related to repayment ability, just like any other loan applicant. If you have additional questions or concerns, visit VA’s home loan website or call 1-877-827-3702.",/askcfpb/304/im-a-servicemember-or-veteran-and-i-have-a-certificate-of-eligibility-coe-from-the-va-why-do-i-have-to-apply-and-qualify-at-a-bank-if-the-va-has-already-certified-me.html,APPROVED,Mortgages,Applying for a mortgage,Servicemembers,<Question: 113 What is a VA loan?> | <Question: 302 I am a servicemember or veteran. Will I be able to get a conventional or VA mortgage on a manufactured home?>,Owning a Home
305,My spouse and I are both servicemembers or veterans and are eligible for VA home loans. Can we use one of our loans to purchase a vacation home or a rental investment property?,,"VA loans are only for a primary residence. If two servicemembers each have a certificate of eligibility, a home you buy together still has to be one that you will use as your primary residence. That means that you cannot use your VA Home Loan benefit to buy a second home for investment purposes or for use as a vacation home. If you already have a VA loan for a property used as your primary residence, it may be possible to use that home as a rental property and use your remaining eligibility to purchase another home for use as your primary residence. Before trying to use this option, though, its very important to consult your Regional VA Office for details and confirmation regarding your remaining eligibility.",/askcfpb/305/my-spouse-and-i-are-both-servicemembers-or-veterans-and-are-eligible-for-va-home-loans-can-we-use-one-of-our-loans-to-purchase-a-vacation-home-or-a-rental-investment-property.html,APPROVED,Mortgages,Applying for a mortgage,Servicemembers,<Question: 113 What is a VA loan?> | <Question: 302 I am a servicemember or veteran. Will I be able to get a conventional or VA mortgage on a manufactured home?>,Tell Your Story
306,I am on active duty in the military or have been on active duty within the past year. Am I protected from foreclosure?,,"The Servicemembers Civil Relief Act (SCRA) provides military personnel and their dependents protections when it comes to issues related to mortgages and housing.If you are on active duty and obtained a mortgage before you went on active duty (also known as a “pre-service mortgage obligation”), you generally cannot be foreclosed on without a valid court order (regardless of whether you told your lender or servicer acting on your lender’s behalf of your active duty status) while you are on active duty, as well as for an additional nine months after leaving active duty.The SCRA provides protection against default judgments (which are rulings against a party to a lawsuit because he or she didn’t appear in court) against a servicemember – including foreclosure cases before a judge – while on active duty. If you rent instead of own your home, the SCRA prevents eviction of servicemembers or their dependents without a court order during a period of military service, as long as your monthly rent is less than $2,975.54 (this is the limit for 2011).If you obtained a mortgage before you went on active duty, the SCRA requires your lender or servicer acting on your lender’s behalf to reduce your mortgage interest rate to 6 percent (including service charges and fees) for the entire time you are on active duty, and for an additional year after you leave active duty. Any interest above the six percent cap is forgiven, not deferred. To receive this interest rate reduction, you must provide your lender or servicer acting on your lender’s behalf with written notice and a copy of the orders calling you to active duty no later than 180 days after you leave military service.If you believe your rights under the SCRA have been violated, you should contact the nearest Armed Forces Legal Assistance Program office. If you are a dependent of a servicemember, you can contact or visit your local military legal assistance office. Go online to find an office within the continental United States or worldwide. For additional servicemember assistance and resources – even if you are no longer on active duty – visit the American Bar Association’s ABA Home Front.",/askcfpb/306/i-am-on-active-duty-in-the-military-or-have-been-on-active-duty-within-the-past-year-am-i-protected-from-foreclosure.html,APPROVED,Mortgages,Trouble paying a mortgage,Servicemembers,<Question: 198 What&#146;s the difference between a mortgage lender and a servicer?> | <Question: 287 How does foreclosure work?>,Tell Your Story
